Name,Growths,Growth Rate,#Reads,Initial Bins,Used Bins,Fit Err,Error Codes
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE005672_3_Streptococcus_pneumoniae_TIGR4__complete_genome_BAC,failed,1.19,1490,50,27,10.28,"[-2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE009951_2_Fusobacterium_nucleatum_subsp__nucleatum_ATCC_25586__complete_genome_BAC,failed,1.07,4167,50,24,8.98,[-3]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE014133_2_Streptococcus_mutans_UA159__complete_genome_BAC,moderate,1.33,20080,50,49,2.45,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,slow,1.16,169554,50,48,2.07,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP008937_1_Lactobacillus_fermentum_IFO_3956_DNA__complete_genome_BAC,failed,3.72,18029,50,22,4.70,[-3]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP010969_1_Streptococcus_intermedius_JTH08_DNA__complete_genome_BAC,moderate,1.64,49148,50,37,3.71,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP011540_1_Rothia_mucilaginosa_DY_18_DNA__complete_genome_BAC,moderate,1.45,64904,50,30,8.03,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP011548_1_Lactobacillus_rhamnosus_ATCC_53103_DNA__complete_genome_BAC,moderate,1.76,294001,50,45,2.37,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP012333_1_Parascardovia_denticolens_DSM_10105___JCM_12538_DNA__complete_genome_BAC,failed,1.67,2348,50,26,15.30,"[-1, -2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP012334_1_Scardovia_inopinata_JCM_12537_DNA__complete_genome_BAC,failed,1.00,1204,50,16,-1.00,"[-1, -2, -3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP014612_1_Streptococcus_troglodytae_TKU31_DNA__complete_genome_BAC,failed,2.91,1273,50,6,0.71,"[-2, -3]"
